Start,End,Duration (hours),Date,Event,Beaufort land-wind scale,No. customers affected
17/01/2023,17/01/2023 14:00,0.75,,,,
17/01/2023,17/01/2023 15:00,0.75,,,,
19/01/2023,19/01/2023 11:00,1,,,,
19/01/2023,19/01/2023 12:00,0.75,,,,
19/01/2023,19/01/2023 13:00,0.75,,,,
19/01/2023,19/01/2023 14:00,0.75,,,,
19/01/2023,19/01/2023 15:00,0.75,,,,
19/01/2023,19/01/2023 17:00,1,,,,
19/01/2023,19/01/2023 18:00,0.75,,,,
19/01/2023,19/01/2023 20:00,1.75,,,,
19/01/2023,19/01/2023 21:00,0.75,,,,
19/01/2023,19/01/2023 22:00,0.75,,,,
22/01/2023,22/01/2023 19:00,1,,,,
22/01/2023,22/01/2023 20:00,0.75,,,,
22/01/2023,22/01/2023 21:00,0.75,,,,
23/01/2023,23/01/2023 18:00,1,,,,
23/01/2023,23/01/2023 19:00,0.75,,,,
23/01/2023,23/01/2023 20:00,0.75,,,,
26/01/2023,26/01/2023 20:00,2,,,,
27/01/2023,27/01/2023 10:00,1,,,,
27/01/2023,27/01/2023 11:00,0.75,,,,
27/01/2023,27/01/2023 12:00,0.75,,,,
27/01/2023,27/01/2023 13:00,0.75,,,,
27/01/2023,27/01/2023 14:00,0.75,,,,
27/01/2023,27/01/2023 15:00,0.75,,,,
27/01/2023,27/01/2023 18:00,1,,,,
27/01/2023,27/01/2023 19:00,0.75,,,,
27/01/2023,27/01/2023 20:00,0.75,,,,
27/01/2023,27/01/2023 21:00,0.75,,,,
07/02/2023,07/02/2023 18:00,1,,,,
07/02/2023,07/02/2023 19:00,0.75,,,,
07/02/2023,07/02/2023 20:00,0.75,,,,
07/02/2023,07/02/2023 21:00,0.75,,,,
07/02/2023,07/02/2023 22:00,0.75,,,,
09/02/2023,09/02/2023 19:00,1,,,,
09/02/2023,09/02/2023 20:00,0.75,,,,
16/02/2023,16/02/2023 10:00,1,,,,
16/02/2023,16/02/2023 11:00,0.75,,,,
16/02/2023,16/02/2023 12:00,0.75,,,,
16/02/2023,16/02/2023 13:00,0.75,,,,
,,,17/02/2023,Otto,Gale,
23/02/2023,23/02/2023 08:00,1,,,,
23/02/2023,23/02/2023 09:00,0.75,,,,
23/02/2023,23/02/2023 10:00,0.75,,,,
23/02/2023,23/02/2023 11:00,0.75,,,,
23/02/2023,23/02/2023 12:00,0.75,,,,
23/02/2023,23/02/2023 13:00,0.75,,,,
23/02/2023,23/02/2023 15:00,0.75,,,,
23/02/2023,23/02/2023 16:00,0.75,,,,
23/02/2023,23/02/2023 21:00,2.75,,,,
23/02/2023,23/02/2023 22:00,0.75,,,,
23/02/2023,23/02/2023 23:00,0.75,,,,
23/02/2023,24/02/2023 00:00,0.75,,,,
25/02/2023,25/02/2023 20:00,1,,,,
27/02/2023,27/02/2023 17:00,1,,,,
27/02/2023,27/02/2023 18:00,0.75,,,,
27/02/2023,27/02/2023 19:00,0.75,,,,
27/02/2023,27/02/2023 22:00,2.75,,,,
27/02/2023,27/02/2023 23:00,0.75,,,,
27/02/2023,28/02/2023 00:00,0.75,,,,
28/02/2023,28/02/2023 07:00,1,,,,
28/02/2023,28/02/2023 08:00,0.75,,,,
28/02/2023,28/02/2023 22:00,13.75,,,,
28/02/2023,28/02/2023 23:00,0.75,,,,
28/02/2023,01/03/2023 00:00,0.75,,,,
01/03/2023,01/03/2023 09:00,1,,,,
01/03/2023,01/03/2023 10:00,0.75,,,,
01/03/2023,01/03/2023 12:00,1.75,,,,
01/03/2023,01/03/2023 13:00,0.75,,,,
01/03/2023,01/03/2023 14:00,0.75,,,,
01/03/2023,01/03/2023 16:00,1.75,,,,
01/03/2023,01/03/2023 23:00,6.75,,,,
01/03/2023,02/03/2023 00:00,0.75,,,,
02/03/2023,02/03/2023 08:00,1,,,,
02/03/2023,02/03/2023 09:00,0.75,,,,
02/03/2023,03/03/2023 00:00,14.75,,,,
03/03/2023,03/03/2023 06:00,1,,,,
03/03/2023,03/03/2023 07:00,0.75,,,,
03/03/2023,03/03/2023 08:00,0.75,,,,
03/03/2023,03/03/2023 09:00,0.75,,,,
03/03/2023,03/03/2023 23:00,13.75,,,,
03/03/2023,04/03/2023 00:00,0.75,,,,
04/03/2023,04/03/2023 01:00,0.75,,,,
04/03/2023,04/03/2023 13:00,2,,,,
04/03/2023,04/03/2023 14:00,0.75,,,,
04/03/2023,04/03/2023 15:00,0.75,,,,
04/03/2023,04/03/2023 18:00,1,,,,
04/03/2023,04/03/2023 19:00,0.75,,,,
04/03/2023,04/03/2023 20:00,0.75,,,,
04/03/2023,04/03/2023 21:00,0.75,,,,
04/03/2023,04/03/2023 22:00,0.75,,,,
04/03/2023,04/03/2023 23:00,0.75,,,,
07/03/2023,07/03/2023 10:00,1,,,,
07/03/2023,07/03/2023 12:00,1.75,,,,
07/03/2023,07/03/2023 13:00,0.75,,,,
07/03/2023,07/03/2023 14:00,0.75,,,,
07/03/2023,07/03/2023 15:00,0.75,,,,
07/03/2023,07/03/2023 16:00,0.75,,,,
07/03/2023,07/03/2023 17:00,0.75,,,,
07/03/2023,07/03/2023 18:00,0.75,,,,
07/03/2023,07/03/2023 22:00,3.75,,,,
07/03/2023,07/03/2023 23:00,0.75,,,,
10/03/2023,10/03/2023 09:00,1,,,,
10/03/2023,10/03/2023 21:00,11.75,,,,
10/03/2023,10/03/2023 22:00,0.75,,,,
10/03/2023,10/03/2023 23:00,0.75,,,,
14/03/2023,14/03/2023 23:00,4.75,,,,
14/03/2023,15/03/2023 00:00,0.75,,,,
15/03/2023,15/03/2023 01:00,0.75,,,,
15/03/2023,15/03/2023 18:00,1,,,,
27/03/2023,27/03/2023 10:00,1,,,,
27/03/2023,27/03/2023 11:00,0.75,,,,
27/03/2023,27/03/2023 12:00,0.75,,,,
02/04/2023,02/04/2023 11:00,1,,,,
02/04/2023,02/04/2023 12:00,0.75,,,,
02/04/2023,02/04/2023 13:00,0.75,,,,
02/04/2023,02/04/2023 14:00,0.75,,,,
02/04/2023,02/04/2023 15:00,0.75,,,,
05/04/2023,05/04/2023 09:00,1,,,,
05/04/2023,05/04/2023 10:00,0.75,,,,
05/04/2023,05/04/2023 11:00,0.75,,,,
05/04/2023,05/04/2023 13:00,1.75,,,,
05/04/2023,05/04/2023 14:00,0.75,,,,
05/04/2023,05/04/2023 16:00,0.75,,,,
05/04/2023,05/04/2023 17:00,0.75,,,,
05/04/2023,05/04/2023 18:00,0.75,,,,
05/04/2023,05/04/2023 19:00,0.75,,,,
05/04/2023,05/04/2023 21:00,1.75,,,,
05/04/2023,05/04/2023 22:00,0.75,,,,
05/04/2023,05/04/2023 23:00,0.75,,,,
06/04/2023,06/04/2023 09:00,1,,,,
06/04/2023,06/04/2023 10:00,0.75,,,,
06/04/2023,06/04/2023 11:00,0.75,,,,
06/04/2023,06/04/2023 12:00,0.75,,,,
06/04/2023,06/04/2023 13:00,0.75,,,,
06/04/2023,06/04/2023 14:00,0.75,,,,
06/04/2023,06/04/2023 15:00,0.75,,,,
06/04/2023,06/04/2023 18:00,1,,,,
06/04/2023,06/04/2023 19:00,0.75,,,,
06/04/2023,06/04/2023 20:00,0.75,,,,
06/04/2023,06/04/2023 21:00,0.75,,,,
06/04/2023,06/04/2023 22:00,0.75,,,,
06/04/2023,06/04/2023 23:00,0.75,,,,
,,,12/04/2023,Noa,Storm,0
05/05/2023,05/05/2023 10:00,1,,,,
05/05/2023,05/05/2023 12:00,0.75,,,,
