Outage Start,Outage End,Duration (hours),Weather Event Date,Weather Event,Wind scale,RES
01/01/2018,01/01/2018 02:15,1,31/12/2017,Dylan,Storm,5
01/01/2018,01/01/2018 16:15,14,31/12/2017,Dylan,Storm,5
01/01/2018,01/01/2018 16:15,14,31/12/2017,Dylan,Storm,5
01/01/2018,02/01/2018 01:00,9,31/12/2017,Dylan,Storm,5
01/01/2018,02/01/2018 01:00,6,31/12/2017,Dylan,Storm,5
02/01/2018,04/01/2018 01:00,27.25,02/01/2018,Eleanor,Violent Storm,5
03/01/2018,04/01/2018 01:00,6.5,02/01/2018,Eleanor,Violent Storm,5
04/01/2018,05/01/2018 01:00,24.25,02/01/2018,Eleanor,Violent Storm,5
04/01/2018,04/01/2018 10:00,2.25,02/01/2018,Eleanor,Violent Storm,5
04/01/2018,05/01/2018 07:30,21.75,02/01/2018,Eleanor,Violent Storm,5
04/01/2018,05/01/2018 01:00,7.75,02/01/2018,Eleanor,Violent Storm,5
04/01/2018,05/01/2018 01:00,5,02/01/2018,Eleanor,Violent Storm,5
04/01/2018,05/01/2018 01:00,4.75,02/01/2018,Eleanor,Violent Storm,5
05/01/2018,05/01/2018 02:15,1.25,02/01/2018,Eleanor,Violent Storm,5
07/01/2018,08/01/2018 01:00,19.5,02/01/2018,Eleanor,Violent Storm,5
08/01/2018,09/01/2018 01:00,15,02/01/2018,Eleanor,Violent Storm,5
08/01/2018,09/01/2018 01:00,10.5,02/01/2018,Eleanor,Violent Storm,5
16/01/2018,16/01/2018 15:45,0.75,16/01/2018,Fionn,Storm,5
17/01/2018,18/01/2018 01:00,13,17/01/2018,David,Gale,5
17/01/2018,18/01/2018 01:00,12,17/01/2018,David,Gale,5
17/01/2018,18/01/2018 01:00,11,17/01/2018,David,Gale,5
17/01/2018,19/01/2018 01:00,26.75,17/01/2018,David,Gale,5
17/01/2018,18/01/2018 00:00,0.75,17/01/2018,David,Gale,5
18/01/2018,19/01/2018 01:00,18.75,17/01/2018,David,Gale,5
19/01/2018,20/01/2018 01:00,17,17/01/2018,David,Gale,5
19/01/2018,20/01/2018 01:00,16.75,17/01/2018,David,Gale,5
19/01/2018,20/01/2018 01:00,14,17/01/2018,David,Gale,5
19/01/2018,20/01/2018 01:00,9,17/01/2018,David,Gale,5
19/01/2018,20/01/2018 01:00,4,17/01/2018,David,Gale,5
20/01/2018,21/01/2018 01:00,18.75,17/01/2018,David,Gale,5
20/01/2018,21/01/2018 01:00,9,17/01/2018,David,Gale,5
21/01/2018,22/01/2018 01:00,23,17/01/2018,David,Gale,5
